Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-d434,134.75,-45.93,20.83,20.009,19.994,21.028,21.157,23.517,21.438,23.554,21.073,23.36,21.619,22.818,2.395,2.507,2.036,1.935,2.009,2.235,1.905,2.33,1.926,2.418,2.086,2.379,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0,58596.0
SPLUS-d435,111.09,-47.28,20.83,20.053,20.009,21.013,21.124,23.446,21.382,23.486,21.016,23.28,21.567,22.694,1.719,1.776,1.534,1.301,1.235,1.316,1.219,1.272,1.315,1.306,1.172,1.297,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0
SPLUS-d443,127.54,-47.28,20.586,19.785,19.58,20.702,20.766,23.212,21.138,23.344,20.89,23.21,21.485,22.577,1.601,1.493,1.481,1.47,1.427,1.53,1.49,1.689,1.62,1.322,1.258,1.149,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0,58918.0
SPLUS-d445,131.66,-47.28,20.763,19.95,19.841,20.92,21.061,23.436,21.393,23.477,20.981,23.223,21.532,22.707,2.2,2.072,1.836,1.906,1.928,1.955,1.969,2.15,2.281,1.791,1.809,1.647,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0
SPLUS-d446,133.71,-47.28,20.826,20.007,19.964,20.982,21.107,23.461,21.395,23.479,21.01,23.258,21.47,22.69,1.466,1.351,1.262,1.249,1.309,1.452,1.27,1.5,1.313,1.176,1.372,1.266,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0,58533.0
SPLUS-d452,122.83,-48.63,20.63,19.826,19.741,20.813,20.942,23.346,21.306,23.431,20.968,23.257,21.542,22.689,1.546,1.374,1.348,1.266,1.242,1.329,1.192,1.494,1.403,1.201,1.274,1.229,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0
SPLUS-d455,129.18,-48.63,20.609,19.804,19.78,20.762,20.878,23.301,21.236,23.384,20.928,23.205,21.485,22.614,1.727,1.499,1.427,1.473,1.432,1.474,1.514,1.591,1.552,1.26,1.14,1.167,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0,58919.0
SPLUS-d456,131.3,-48.63,20.859,20.073,20.037,21.039,21.167,23.558,21.458,23.541,21.045,23.331,21.599,22.794,1.402,1.359,1.341,1.268,1.21,1.618,1.135,1.414,1.528,1.39,1.314,1.517,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0,58594.0
SPLUS-d457,133.41,-48.63,20.776,20.015,20.002,21.006,21.138,23.487,21.418,23.491,20.961,23.28,21.565,22.694,1.505,1.355,1.382,1.355,1.397,1.556,1.379,1.676,1.498,1.257,1.292,1.255,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0,58563.0
SPLUS-d466,130.12,-49.98,20.693,19.875,19.847,20.819,20.937,23.341,21.281,23.411,20.944,23.244,21.532,22.684,1.522,1.44,1.485,1.45,1.263,1.295,1.25,1.374,1.237,1.142,1.089,1.128,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0
SPLUS-d467,132.29,-49.98,20.669,19.876,19.847,20.88,21.029,23.407,21.35,23.452,20.966,23.245,21.537,22.664,1.606,1.447,1.463,1.56,1.537,1.647,1.503,2.064,1.997,1.408,1.632,1.314,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0
SPLUS-d468,134.46,-49.98,20.694,19.917,19.887,20.883,21.017,23.373,21.306,23.44,20.957,23.207,21.505,22.615,2.001,1.78,1.986,1.711,1.746,2.314,1.895,2.558,2.306,2.343,2.049,1.99,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0
SPLUS-d477,131.93,-51.33,20.701,19.905,19.891,20.917,21.046,23.446,21.374,23.499,21.013,23.313,21.586,22.782,1.933,1.711,1.724,1.666,1.823,1.682,1.647,1.655,1.683,1.526,1.466,1.495,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0,58595.0
SPLUS-d478,134.16,-51.33,20.747,19.942,19.93,20.926,21.072,23.443,21.375,23.453,20.974,23.244,21.54,22.665,1.835,1.514,1.427,1.36,1.319,1.465,1.347,1.728,1.674,1.24,1.339,1.196,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0,58564.0
SPLUS-d487,132.99,-52.67,20.675,19.88,19.783,20.835,21.039,23.455,21.397,23.488,21.023,23.283,21.594,22.743,1.661,1.668,1.687,1.714,1.648,1.683,1.541,1.592,1.405,1.506,1.368,1.676,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0,58589.0
SPLUS-d504,134.7,-55.35,20.614,19.837,19.742,20.862,21.018,23.416,21.374,23.476,21.0,23.276,21.563,22.701,1.554,1.47,1.481,1.502,1.458,1.684,1.502,1.452,1.544,1.332,1.357,1.474,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0
