Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-d326,126.96,-36.36,20.871,20.07,20.016,21.04,21.17,23.52,21.463,23.531,21.049,23.303,21.595,22.743,1.427,1.369,1.275,1.259,1.244,1.265,1.173,1.261,1.122,1.149,1.172,1.27,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0,58588.0
SPLUS-d328,130.43,-36.36,20.866,20.058,19.999,21.08,21.227,23.561,21.49,23.517,21.025,23.299,21.566,22.734,1.94,1.769,1.754,1.601,1.563,1.78,1.651,1.788,1.556,1.463,1.409,1.288,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0,58216.0
SPLUS-d329,132.18,-36.36,20.818,20.044,19.966,20.993,21.104,23.455,21.383,23.481,21.01,23.237,21.529,22.639,1.339,1.291,1.182,1.302,1.308,1.251,1.248,1.355,1.272,1.147,1.137,1.208,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0
SPLUS-d330,104.63,-37.74,20.905,20.118,20.128,20.556,20.468,22.767,21.06,23.181,20.688,22.878,20.607,21.776,2.54,2.547,2.887,2.754,2.768,3.124,2.774,2.993,3.344,3.377,3.576,3.561,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0,58475.0
SPLUS-d331,106.4,-37.74,19.755,18.992,18.935,19.918,20.019,22.437,20.388,22.59,20.135,22.428,20.714,21.873,1.485,1.366,1.372,1.425,1.272,1.263,1.207,1.606,1.363,1.249,1.184,1.272,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0,59213.0
SPLUS-d336,115.27,-37.74,19.915,19.173,19.057,19.984,20.04,22.381,20.364,22.523,20.06,22.366,20.672,21.796,1.784,1.574,1.536,1.463,1.248,1.264,1.252,1.452,1.362,1.36,1.166,1.242,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0,59215.0
SPLUS-d343,127.68,-37.74,20.77,19.954,19.942,20.902,21.018,23.403,21.342,23.468,20.986,23.279,21.561,22.714,1.43,1.363,1.386,1.43,1.476,1.409,1.344,1.398,1.314,1.257,1.192,1.2,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0,58888.0
SPLUS-d344,129.46,-37.74,20.846,20.037,20.001,21.026,21.159,23.512,21.448,23.529,21.038,23.307,21.577,22.744,1.49,1.453,1.412,1.481,1.503,1.59,1.478,1.561,1.355,1.393,1.229,1.372,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0,58560.0
SPLUS-d345,131.23,-37.74,20.793,19.983,19.961,20.953,21.087,23.452,21.382,23.482,21.004,23.265,21.542,22.698,1.507,1.428,1.323,1.392,1.335,1.37,1.302,1.493,1.292,1.167,1.208,1.2,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0
SPLUS-d346,133.0,-37.74,20.892,20.085,20.048,21.076,21.199,23.553,21.492,23.563,21.067,23.334,21.609,22.761,1.607,1.529,1.509,1.59,1.506,1.652,1.484,1.485,1.546,1.552,1.636,1.637,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0,58501.0
SPLUS-d347,106.73,-39.11,19.803,19.031,18.967,19.976,20.051,22.492,20.418,22.606,20.14,22.44,20.712,21.873,2.067,1.92,1.674,1.602,1.432,1.615,1.449,1.68,1.538,1.477,1.241,1.436,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0,59214.0
SPLUS-d356,123.02,-39.11,20.7,19.899,19.817,20.808,20.915,23.283,21.242,23.383,20.899,23.23,21.525,22.659,2.136,2.046,2.008,2.005,1.668,1.665,1.999,1.928,1.972,1.543,1.461,1.938,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0,58915.0
SPLUS-d358,126.63,-39.11,20.81,19.998,19.868,20.902,21.007,23.366,21.306,23.442,20.978,23.269,21.509,22.666,1.664,1.717,1.565,1.512,1.445,1.365,1.391,1.639,1.601,1.216,1.112,1.083,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0,58890.0
SPLUS-d360,130.25,-39.11,20.857,20.033,20.038,21.015,21.149,23.494,21.431,23.515,21.02,23.289,21.576,22.683,1.593,1.458,1.289,1.326,1.44,1.37,1.767,2.395,1.287,1.437,1.646,2.419,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0,58532.0
SPLUS-d361,132.06,-39.11,20.868,20.04,20.018,21.034,21.145,23.543,21.446,23.496,21.079,23.353,21.614,22.759,2.094,1.946,1.84,1.706,1.608,1.539,1.653,1.979,1.778,1.375,1.394,1.43,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0,58506.0
SPLUS-d362,133.87,-39.11,20.558,19.766,19.657,20.908,21.07,23.449,21.419,23.474,21.029,22.068,21.537,22.724,1.82,1.796,1.853,2.016,1.902,2.433,1.858,2.852,3.134,5.036,2.545,4.481,58228.0,58228.0,58214.0,58214.0,58214.0,58228.0,58214.0,58228.0,58214.0,58228.0,58214.0,58228.0
SPLUS-d375,129.23,-40.48,20.938,20.095,19.997,21.093,21.191,23.534,21.496,23.522,21.053,23.347,21.595,22.273,2.547,2.49,2.25,2.35,2.268,2.051,2.285,2.237,2.197,1.806,1.581,1.646,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0,58590.0
SPLUS-d376,131.08,-40.48,20.839,20.037,20.038,21.046,21.172,23.507,21.446,23.536,21.04,23.295,21.597,22.713,1.373,1.407,1.294,1.239,1.643,1.257,1.2,1.481,1.269,1.215,1.359,1.186,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0,58565.0
SPLUS-d377,132.93,-40.48,20.838,20.004,20.012,21.066,21.201,23.549,21.477,23.557,21.055,23.33,21.596,22.756,1.469,1.527,1.387,1.31,1.389,1.393,1.38,1.515,1.355,1.312,1.265,1.319,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0,58562.0
SPLUS-d386,120.63,-41.84,20.516,19.715,19.648,20.688,20.812,23.233,21.201,23.369,20.905,23.224,21.517,22.654,1.891,1.614,1.707,1.61,1.604,1.575,1.574,1.483,1.717,1.357,1.412,1.392,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0,58887.0
SPLUS-d390,128.17,-41.84,20.793,20.001,19.954,20.909,21.056,23.421,21.352,23.455,20.983,23.276,21.547,22.712,1.335,1.344,1.339,1.188,1.307,1.551,1.435,1.515,1.311,1.304,1.135,1.169,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0,58889.0
SPLUS-d391,130.05,-41.84,20.668,19.834,19.792,20.742,20.832,23.238,21.185,23.378,20.91,23.23,21.536,22.662,2.879,2.333,1.919,2.034,1.795,1.781,1.598,1.574,1.687,1.519,1.646,1.642,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0,58886.0
SPLUS-d392,131.94,-41.84,20.339,19.598,19.691,20.574,20.728,23.467,21.4,23.521,21.053,23.249,21.495,22.666,1.466,1.36,1.291,1.344,1.261,1.251,1.252,1.593,1.431,1.189,1.117,1.101,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0,58566.0
SPLUS-d393,133.82,-41.84,20.824,19.987,20.002,21.071,21.229,23.569,21.498,23.531,21.042,23.313,21.581,22.764,2.169,2.014,2.095,1.872,1.772,1.705,1.68,1.619,1.774,1.453,1.451,1.38,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0,58198.0
SPLUS-d406,130.91,-43.21,20.757,19.926,19.89,20.899,21.02,23.39,21.341,23.479,20.985,23.239,21.551,22.705,1.585,1.444,1.434,1.502,1.358,1.273,1.288,1.577,1.51,1.19,1.129,1.085,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0,58891.0
SPLUS-d407,132.83,-43.21,20.762,19.95,19.927,20.944,21.073,23.415,21.352,23.469,20.995,23.264,21.545,22.675,1.456,1.34,1.238,1.233,1.266,1.377,1.272,1.555,1.506,1.243,1.252,1.262,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0,58531.0
SPLUS-d420,131.8,-44.57,20.84,20.007,19.877,21.006,21.171,23.522,21.448,23.482,21.034,23.275,21.571,22.726,1.413,1.393,1.403,1.53,1.45,1.487,1.403,1.758,1.503,1.306,1.11,1.19,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0,58591.0
SPLUS-d421,133.77,-44.57,20.774,19.949,19.943,21.011,21.154,23.509,21.441,23.523,21.038,23.309,21.584,22.722,1.688,1.61,1.519,1.45,1.447,1.584,1.428,1.791,1.795,1.457,1.658,1.475,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0,58561.0
SPLUS-d433,132.74,-45.93,20.756,19.941,19.862,20.935,21.052,23.409,21.346,23.47,20.995,23.255,21.539,22.652,1.578,1.472,1.402,1.411,1.4,1.512,1.373,1.534,1.353,1.279,1.234,1.246,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0,58536.0
