Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0069,152.63,-32.23,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0,57786.0
HYDRA-0070,154.29,-32.23,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0
HYDRA-0071,155.95,-32.23,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0,58494.0
HYDRA-0072,157.6,-32.23,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0,58510.0
HYDRA-0073,159.26,-32.23,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0
HYDRA-0074,160.92,-32.23,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0
HYDRA-0075,162.58,-32.23,58529.0,58529.0,58529.0,58529.0,58529.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0
HYDRA-0076,164.24,-32.23,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0
HYDRA-0077,150.42,-33.61,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0,57773.0
HYDRA-0078,152.11,-33.61,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0,58468.0
HYDRA-0079,153.8,-33.61,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0,58492.0
HYDRA-0080,155.49,-33.61,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0,58522.0
HYDRA-0081,157.18,-33.61,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0,58495.0
HYDRA-0082,158.88,-33.61,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0
HYDRA-0083,160.56,-33.61,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0
HYDRA-0084,162.25,-33.61,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0,57849.0
HYDRA-0085,163.94,-33.61,57782.0,57782.0,58512.0,58512.0,58512.0,57782.0,58512.0,57782.0,58512.0,57782.0,58512.0,57782.0
HYDRA-0086,150.86,-34.99,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0,57789.0
HYDRA-0087,152.57,-34.99,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0
HYDRA-0088,154.29,-34.99,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0,58488.0
HYDRA-0089,156.0,-34.99,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0,58500.0
HYDRA-0091,159.43,-34.99,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0,58517.0
HYDRA-0092,161.14,-34.99,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0
HYDRA-0093,162.86,-34.99,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0,57803.0
HYDRA-0094,164.57,-34.99,58523.0,58523.0,58523.0,58523.0,58523.0,58531.0,58531.0,58531.0,58523.0,58523.0,58523.0,58523.0
HYDRA-0095,151.3,-36.36,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0,57782.0
HYDRA-0096,153.04,-36.36,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0,57850.0
HYDRA-0097,154.78,-36.36,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0,58489.0
HYDRA-0098,156.52,-36.36,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0
HYDRA-0099,158.26,-36.36,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0
HYDRA-0100,160.0,-36.36,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0,58525.0
HYDRA-0101,161.74,-36.36,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0
HYDRA-0102,163.48,-36.36,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0,57799.0
HYDRA-0103,150.74,-37.74,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0,57780.0
