Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
SPLUS-n18s02,152.2,-22.92,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0,58511.0
SPLUS-n18s03,153.66,-22.92,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0,58537.0
SPLUS-n18s04,155.12,-22.92,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0,58512.0
SPLUS-n18s05,156.58,-22.92,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0
SPLUS-n18s06,158.05,-22.92,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0,58244.0
SPLUS-n18s07,159.51,-22.92,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0
SPLUS-n18s08,160.98,-22.92,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0,58539.0
SPLUS-n18s09,162.44,-22.92,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0
SPLUS-n18s10,163.9,-22.92,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0,58251.0
SPLUS-n18s11,165.37,-22.92,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0,58576.0
SPLUS-n18s12,166.83,-22.92,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0
SPLUS-n18s13,168.29,-22.92,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0,58570.0
SPLUS-n18s14,169.75,-22.92,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0,58250.0
SPLUS-n18s15,171.22,-22.92,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0,58581.0
SPLUS-n18s16,172.68,-22.92,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0,58223.0
SPLUS-n18s17,174.15,-22.92,58216.0,58216.0,58216.0,58216.0,58216.0,58542.0,58216.0,58542.0,58542.0,58542.0,58542.0,58542.0
SPLUS-n18s18,175.61,-22.92,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0,58243.0
SPLUS-n18s19,177.08,-22.92,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0,58214.0
SPLUS-n18s20,178.54,-22.92,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0,58558.0
SPLUS-n18s21,180.0,-22.92,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58203.0,58541.0,58203.0,58541.0,58203.0
SPLUS-n18s32,196.1,-22.92,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0,58924.0
SPLUS-n18s33,197.56,-22.92,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0
SPLUS-n18s51,223.9,-22.92,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0
SPLUS-n19s01,165.0,-24.25,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0,58871.0
SPLUS-n19s02,166.48,-24.25,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0,58895.0
SPLUS-n19s03,167.95,-24.25,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0,58885.0
SPLUS-n19s04,169.43,-24.25,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0,58875.0
SPLUS-n19s05,170.9,-24.25,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0,58878.0
SPLUS-n19s06,172.38,-24.25,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0,58881.0
SPLUS-n19s07,173.85,-24.25,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0,58882.0
SPLUS-n19s08,175.33,-24.25,58904.0,58904.0,58904.0,58904.0,58904.0,58904.0,58904.0,58904.0,58913.0,58904.0,58913.0,58913.0
SPLUS-n19s09,176.8,-24.25,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0
SPLUS-n19s10,178.28,-24.25,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0,58906.0
SPLUS-n19s11,179.75,-24.25,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0,58905.0
SPLUS-n19s22,195.98,-24.25,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0,59228.0
SPLUS-n19s23,197.45,-24.25,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0
SPLUS-n19s29,206.3,-24.25,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0
SPLUS-n20s01,165.0,-25.59,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0,59223.0
SPLUS-n20s02,166.49,-25.59,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0,59230.0
SPLUS-n20s03,167.98,-25.59,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0,59226.0
SPLUS-n20s23,197.73,-25.59,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0,59229.0
SPLUS-n20s25,200.7,-25.59,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0,58925.0
SPLUS-n20s34,214.09,-25.59,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0
SPLUS-n20s35,215.58,-25.59,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0
SPLUS-n20s40,223.01,-25.59,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0,58669.0
SPLUS-s02s01,324.68,-1.36,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0
SPLUS-s02s02,326.04,-1.36,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0
SPLUS-s02s03,327.4,-1.36,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0,58694.0
SPLUS-s02s04,328.75,-1.36,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0
SPLUS-s02s05,330.11,-1.36,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0,58674.0
SPLUS-s02s06,331.47,-1.36,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0,58699.0
SPLUS-s02s07,332.83,-1.36,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0,58695.0
SPLUS-s02s08,334.19,-1.36,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0
SPLUS-s02s09,335.55,-1.36,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0
SPLUS-s02s10,336.9,-1.36,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0
SPLUS-s02s11,338.26,-1.36,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0
SPLUS-s02s12,339.62,-1.36,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0
SPLUS-s02s13,340.98,-1.36,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0
SPLUS-s02s15,343.7,-1.36,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0,58762.0
SPLUS-s02s16,345.06,-1.36,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0
SPLUS-s02s17,346.42,-1.36,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0
SPLUS-s02s19,349.13,-1.36,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0,58763.0
SPLUS-s02s20,350.49,-1.36,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0,58777.0
SPLUS-s02s21,351.85,-1.36,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0
SPLUS-s02s22,353.21,-1.36,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0
SPLUS-s02s23,354.57,-1.36,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0,58717.0
SPLUS-s02s24,355.93,-1.36,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0
SPLUS-s02s25,357.28,-1.36,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0
SPLUS-s02s26,358.64,-1.36,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0
SPLUS-s03s01,324.68,-2.72,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0,58718.0
SPLUS-s03s03,327.4,-2.72,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0
SPLUS-s03s04,328.75,-2.72,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0,58761.0
SPLUS-s03s05,330.11,-2.72,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0,58775.0
SPLUS-s13s46,347.35,-16.22,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0
SPLUS-s16s22,315.36,-20.24,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0,58691.0
SPLUS-s17s22,315.0,-21.58,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0
SPLUS-s17s23,316.45,-21.58,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0,58698.0
SPLUS-s17s30,326.61,-21.58,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0,58290.0
SPLUS-s18s22,316.1,-22.92,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0,58664.0
SPLUS-s18s23,317.56,-22.92,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0
SPLUS-s18s28,324.88,-22.92,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0,58312.0
SPLUS-s19s22,315.55,-24.25,58013.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0
SPLUS-s19s23,317.04,-24.25,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0,58665.0
SPLUS-s19s24,318.52,-24.25,58690.0,58690.0,58690.0,58690.0,58690.0,58690.0,58690.0,58802.0,58802.0,58802.0,58802.0,58802.0
SPLUS-s19s33,331.85,-24.25,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0,58723.0
SPLUS-s19s34,333.33,-24.25,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0
SPLUS-s20s22,315.19,-25.59,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0,58644.0
SPLUS-s20s23,316.68,-25.59,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0,58637.0
SPLUS-s20s24,318.18,-25.59,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0,58716.0
SPLUS-s20s25,319.67,-25.59,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0
SPLUS-s20s32,330.13,-25.59,58781.0,58781.0,58781.0,58781.0,58781.0,58781.0,58781.0,58745.0,58745.0,58745.0,58745.0,58745.0
SPLUS-s20s33,331.62,-25.59,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0
SPLUS-s20s34,333.11,-25.59,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0
SPLUS-s20s35,334.6,-25.59,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0,58730.0
SPLUS-s20s38,339.09,-25.59,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0,58636.0
SPLUS-s21s10,13.61,-26.92,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0,58335.0
SPLUS-s21s21,316.13,-26.92,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0
SPLUS-s21s22,317.65,-26.92,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0
SPLUS-s21s23,319.16,-26.92,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0,58668.0
SPLUS-s21s24,320.67,-26.92,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0
SPLUS-s21s31,331.26,-26.92,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0
SPLUS-s21s32,332.78,-26.92,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0,58747.0
SPLUS-s21s33,334.29,-26.92,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0
SPLUS-s22s10,13.79,-28.25,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0
SPLUS-s22s15,21.45,-28.25,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0,58818.0
SPLUS-s22s17,24.51,-28.25,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0,58820.0
SPLUS-s22s19,27.58,-28.25,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0,58819.0
SPLUS-s22s20,29.11,-28.25,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0,58774.0
SPLUS-s22s21,315.58,-28.25,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0
SPLUS-s22s22,317.11,-28.25,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0,58018.0
SPLUS-s22s23,318.64,-28.25,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0,58035.0
SPLUS-s22s24,320.17,-28.25,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0,58667.0
SPLUS-s22s32,332.43,-28.25,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58756.0,58722.0,58722.0,58722.0,58722.0,58722.0
SPLUS-s22s33,333.96,-28.25,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0,58748.0
SPLUS-s22s34,335.49,-28.25,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0,58722.0
SPLUS-s23s01,0.02,-29.58,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0,58366.0
SPLUS-s23s02,1.55,-29.58,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0
SPLUS-s23s03,3.1,-29.58,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0
SPLUS-s23s04,4.65,-29.58,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0,58051.0
SPLUS-s23s05,6.21,-29.58,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0,58786.0
SPLUS-s23s06,7.76,-29.58,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0,58787.0
SPLUS-s23s08,10.86,-29.58,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0,58806.0
SPLUS-s23s09,12.41,-29.58,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0
SPLUS-s23s10,13.97,-29.58,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0,58808.0
SPLUS-s23s11,15.52,-29.58,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0,58719.0
SPLUS-s23s12,17.07,-29.58,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0,58807.0
SPLUS-s23s13,18.62,-29.58,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0
SPLUS-s23s14,20.17,-29.58,58777.0,58777.0,58810.0,58810.0,58810.0,58810.0,58810.0,58777.0,58777.0,58777.0,58777.0,58777.0
SPLUS-s23s15,21.73,-29.58,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0,58791.0
SPLUS-s23s16,23.28,-29.58,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0,58805.0
SPLUS-s23s17,24.83,-29.58,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0,58811.0
SPLUS-s23s18,26.38,-29.58,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0,58785.0
SPLUS-s23s19,27.93,-29.58,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0,58753.0
SPLUS-s23s20,29.48,-29.58,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0,58752.0
SPLUS-s23s21,315.0,-29.58,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0
SPLUS-s23s22,316.55,-29.58,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0,58334.0
SPLUS-s23s23,318.1,-29.58,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0,58373.0
SPLUS-s23s24,319.65,-29.58,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0,58347.0
SPLUS-s23s25,321.21,-29.58,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0,58666.0
SPLUS-s23s26,322.76,-29.58,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0,58339.0
SPLUS-s23s27,324.31,-29.58,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0,58660.0
SPLUS-s23s28,325.86,-29.58,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0,58342.0
SPLUS-s23s29,327.41,-29.58,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0,59162.0
SPLUS-s23s30,328.97,-29.58,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0,59160.0
SPLUS-s23s31,330.52,-29.58,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0,59159.0
SPLUS-s23s32,332.07,-29.58,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0
SPLUS-s23s33,333.62,-29.58,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0,58332.0
SPLUS-s23s34,335.17,-29.58,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0,58715.0
SPLUS-s23s35,336.73,-29.58,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0,58721.0
SPLUS-s23s36,338.28,-29.58,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0,58783.0
SPLUS-s23s37,339.83,-29.58,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0,59157.0
SPLUS-s23s38,341.38,-29.58,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0,58825.0
SPLUS-s23s39,342.93,-29.58,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0
SPLUS-s23s41,346.03,-29.58,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0,58814.0
SPLUS-s23s42,347.59,-29.58,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0,58812.0
SPLUS-s23s43,349.14,-29.58,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0,58021.0
SPLUS-s23s44,350.69,-29.58,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0,58693.0
SPLUS-s23s45,352.24,-29.58,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0,58816.0
SPLUS-s23s46,353.79,-29.58,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0,58810.0
SPLUS-s23s47,355.35,-29.58,58690.0,58690.0,58690.0,58813.0,58813.0,58813.0,58813.0,58813.0,58813.0,58813.0,58813.0,58813.0
SPLUS-s23s48,356.9,-29.58,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0,58817.0
SPLUS-s23s49,358.45,-29.58,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0,59426.0
SPLUS-s24s01,0.02,-30.9,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0,58039.0
SPLUS-s24s02,1.57,-30.9,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0,58804.0
SPLUS-s24s03,3.15,-30.9,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0,58729.0
SPLUS-s24s04,4.72,-30.9,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0,58724.0
SPLUS-s24s05,6.29,-30.9,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0,58744.0
SPLUS-s24s07,9.43,-30.9,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0,58409.0
SPLUS-s24s08,11.0,-30.9,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0,58023.0
SPLUS-s24s09,12.58,-30.9,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0,58700.0
SPLUS-s24s10,14.15,-30.9,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0,58701.0
SPLUS-s24s11,15.72,-30.9,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0,58702.0
SPLUS-s24s12,17.29,-30.9,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0,58705.0
