Field,u_3,J0378_3,J0395_3,J0410_3,J0430_3,g_3,J0515_3,r_3,J0660_3,i_3,J0861_3,z_3,u_5,J0378_5,J0395_5,J0410_5,J0430_5,g_5,J0515_5,r_5,J0660_5,i_5,J0861_5,z_5,u_10,J0378_10,J0395_10,J0410_10,J0430_10,g_10,J0515_10,r_10,J0660_10,i_10,J0861_10,z_10,u_50,J0378_50,J0395_50,J0410_50,J0430_50,g_50,J0515_50,r_50,J0660_50,i_50,J0861_50,z_50
HYDRA-0092,20.538334173570522,19.72423223579896,19.07571024258797,19.087303826873068,19.111145531238748,20.329546205974076,19.35958991035903,20.48768232195628,20.467929166360122,20.31334405997098,19.750241385400912,19.705099562368154,20.559636622007304,19.721751725646165,19.08943393556182,19.035243335369024,19.141156392288934,20.352106951555783,19.3552222567995,20.479053800130682,20.433741914086507,20.310383974449394,19.708850519838553,19.696468436498925,20.210300202944566,19.43003868148582,18.882910604972594,18.871241469875407,18.875532011129557,19.83679802460641,19.027023522346482,19.82708477930723,19.763422281004942,19.55062485127592,18.937476749699783,18.858365976433248,17.572500023516508,17.059207209585747,16.45703278091883,16.480281204735878,16.362484153293874,17.123938032807153,16.459678604651593,17.10067674486656,16.851929128056454,16.57072835484652,15.056413874107706,15.790816927395593
HYDRA-0093,20.16338405060102,19.783109830822358,19.36003306089693,19.502665043187996,19.59455528118678,20.847938074240552,19.802755594407223,21.094903033791102,20.55969218162184,20.860124687168398,19.709415129319687,20.17019625727717,20.11463033643213,19.7134508581617,19.20687632316276,19.45093227655066,19.56820618331335,20.765788148661997,19.79602046655984,21.034623258144787,20.55842803157887,20.80586759973626,19.667981573826054,20.145135434364256,19.591407988757137,19.088433128189273,18.58346062077411,18.79452828034399,18.851476987887317,20.07617994447496,19.09157713050991,20.143927837506546,19.863245746171465,19.791905833846855,18.95055102704856,19.137669458608276,16.805117433692118,16.072305752324223,15.71293752214913,15.336804329850263,15.745521405701401,16.484613277320058,15.744703891737501,16.603118128758048,16.57544610375607,16.078036981170268,15.834324102914762,15.390362250783998
HYDRA-0094,20.57872849431967,20.23198741053156,19.710101158845625,19.89688586292743,19.827442271412593,20.983189893086234,20.085724791312302,20.98518185043268,21.020388589007254,20.27925470801056,20.038038866627772,20.21353437417156,20.562243941724383,20.239782649119917,19.713189555696083,19.878219732019254,19.833306594921506,20.96233911158941,20.04814969048865,20.935246629611342,21.003780284049576,20.277860308450784,19.961779939442053,20.113749234279567,20.158957167446168,19.729899453195195,19.191395803787238,19.3328850057058,19.32211427577697,20.348843716866035,19.59397849785293,20.429115409330866,20.355861509649365,19.88110390818187,19.107289008359057,19.159448440810195,17.492090676644274,16.95490402280527,16.331074362616405,16.37431927854285,16.255893454746115,17.396956663890474,16.81524210819785,17.374085164066408,16.942186677931463,16.35372082265162,15.524643465319535,15.794633847276634
HYDRA-0095,18.735448393293794,18.84875807138676,18.499950094042354,18.73086099627784,19.027140433784222,19.88347491944878,19.257437268486598,19.938987084660408,20.066153162796862,19.525237997717745,19.04697801343692,18.79175170443719,18.788249258428323,18.813856134583148,18.441434001852997,18.727325467180314,19.000994720986938,19.88622167264191,19.268046017202437,19.945727228321104,20.06278765026796,19.528029920972124,18.995810206885558,18.73887831395905,18.58430463807627,18.509557579168952,18.0032736034525,18.267820565288904,18.476139903765464,19.506203074908676,18.74913089601044,19.502936759670206,19.58437857279754,18.967040790412263,18.30122273380871,18.182203112179987,16.119352037641644,15.871975855195432,15.395042311176859,15.56967370708198,15.62932551627707,16.741595066295197,16.002496984533174,16.36983442789532,16.820101287604665,16.185274233260216,15.289227926360958,15.350451075926358
HYDRA-0096,18.8696698061196,18.821367472662416,18.455721074669526,18.522372854214684,18.86149078818819,19.50681460169275,19.156335490612413,19.83315035688637,20.05028657937133,19.927917571645082,19.71003417438797,19.531489340283322,18.820471230891172,18.86878688394193,18.486114838683747,18.557926473781805,18.827594199781032,19.499908434769225,19.15298260208276,19.864092941653016,20.04508844243024,19.872940888484603,19.695864122784798,19.49901981217837,18.750700377506263,18.48592035747576,18.15578504778099,18.140286685585245,18.31259051569989,19.06156896200189,18.50586498371154,19.295267494209398,19.359828063586836,19.2478720552197,18.735064474367313,18.68317885217782,16.361472336566475,16.006657389910025,15.606554125881512,15.619529347440626,15.702289345130204,16.667791245810697,15.783519784623934,16.631901985416516,16.291884956642864,16.587685951711684,15.22126621958045,15.868111116615133
HYDRA-0097,20.18127944204851,19.31555457961624,18.82944940827616,19.014901382165444,18.796633279986516,20.241885858822226,19.296597549208414,20.305184116499845,19.993101801171274,20.02328601340736,18.8548977402926,19.26182253422422,20.191088481767515,19.28636005065453,18.829394362137126,19.01484294043138,18.796722953122867,20.246659817446112,19.296626255257802,20.288868068728682,19.977064849244442,20.04908641595045,18.83880409676423,19.28570396640711,20.088606120947787,19.239347162418355,18.733946078167218,18.95095368284303,18.813924170818108,20.154186483422947,19.209243408984747,20.117524865489045,19.898394289289993,19.744690001959913,18.69780993990828,18.90742411928438,17.773125985329173,17.11384610986989,16.49773531175497,16.76191254219448,16.77122106735002,17.855953869441187,16.974516061221976,17.70959567208394,17.487095167424002,17.105190017211477,16.18267811687609,16.22354677477996
HYDRA-0098,20.284689753326077,19.53233144901275,19.100714987858563,19.228612130961924,19.301012948266987,20.45230950717309,19.558814254009093,20.880665783510363,20.6804951902336,20.214927475820325,19.49551328345403,19.65820101052136,20.308487676419983,19.53411061863779,19.10275513226232,19.229995500482232,19.303378921258943,20.461767106010313,19.582673165800554,20.83998229880254,20.705748949629555,20.203917922948783,19.496708944943187,19.678926998616248,20.19811273517136,19.469880826874284,18.987733267507927,19.10217821819288,19.17644515684627,20.29025731011501,19.464752829154556,20.45884681116879,20.390916504973482,19.891448857496414,19.228299614117475,19.394003464844403,17.555057193794344,16.660656422138445,16.203102722760967,16.290877165422067,16.207418987293366,16.719898041358643,16.35892910138034,16.734776969679245,17.245468000725825,15.805038518492431,15.650546705047178,14.708827679445944
HYDRA-0099,20.263087628392853,19.801840935020508,19.478870999066928,19.5997634813519,19.385926420592824,20.67298303352773,19.568044153656494,20.46629400643506,20.511555126405092,20.280974389242036,19.776340404324937,19.727682445559935,20.261718145381167,19.79577450692971,19.48079266102656,19.590403128640993,19.41445256286512,20.69507866085626,19.568593061817616,20.421936533748486,20.515861053297463,20.345766395072527,19.71254842446264,19.77170161087019,20.112733875053394,19.73368433607945,19.2192584537323,19.21502113728399,19.345014393351583,20.4931199049522,19.57793415875679,20.32806473423132,20.132456274271213,19.87483525842487,18.867435073486625,19.058534372751655,17.08163589260131,16.484123889335013,15.566846955928622,15.453477627493731,15.727432097294528,17.134845219115018,16.201234705230746,16.720200283756306,16.406365588985093,16.197935343957305,14.998141699799884,15.705928880546901
HYDRA-0100,20.523171390596033,20.013535951962734,19.274569623727366,19.491996019675174,19.439762726267546,20.922284864334767,20.079832343875687,20.950870689500725,21.012527336145567,20.48174944196574,19.75122196037449,19.623659966648667,20.52473220613318,20.01584543160049,19.2771119937131,19.49063932597845,19.44224653052865,20.90446755037761,20.040186888176287,20.909257571954843,20.98352733360656,20.435614393558133,19.710725761724078,19.57628450056896,20.260018801461513,19.62919095074833,19.106022817998657,19.276891467241324,19.301480099312204,20.55017952183282,19.553216784287123,20.41626739689118,20.335287612273277,19.878796987772432,19.06125270634182,19.018776811908687,17.626201250763973,16.99711128709707,16.44498887660312,16.6683406867971,16.697108048264155,17.569868196215666,16.757533751021185,17.486736737346654,17.20298114760545,17.04129333996849,15.801981839533976,16.01699377316808
HYDRA-0101,20.593112548833943,20.16423406238269,19.60240815815253,19.471001433062497,19.757091391433022,20.776129271747244,20.175540650661237,20.981489894300648,20.692668465206047,20.62167345886376,19.719159518743545,19.92511756517892,20.572057548676717,20.170619771357334,19.605314675106065,19.434052419306003,19.761724560426934,20.79185023768506,20.17675505087319,20.906604273774427,20.690778642124886,20.52018935838183,19.667179114750724,19.8274303939091,20.21713168217792,19.660664344177313,19.265701931472986,19.187820416889124,19.33339790779129,20.421908087599128,19.578145587073617,20.280013545529812,20.04518566152687,19.801313476988575,18.867401936445034,18.87773381520774,17.649371166016184,16.954073368231356,16.459717875355746,16.015466551227526,16.570288984886044,17.426687014752407,16.728357814753586,17.001403190265915,16.778355226762308,16.280064340377653,15.54082232659287,15.442757048339873
